"DATA_YEAR","NIBRS_MONTH_ID","AGENCY_ID","MONTH_NUM","DATA_YEAR","REPORTED_STATUS","REPORT_DATE","UPDATE_FLAG","ORIG_FORMAT","DATA_HOME","DDOCNAME","DID","MONTH_PUB_STATUS"
2020,8551147,1830,1,2020,"I",,"Y","G","C","2020_01_CO0010400_NIBRS",97968776,0
2020,8542272,1830,2,2020,"I",,"Y","G","C","2020_02_CO0010400_NIBRS",97968874,0
2020,8549256,1830,3,2020,"I",,"Y","G","C","2020_03_CO0010400_NIBRS",97968983,0
2020,8484276,1830,4,2020,"I",,"Y","G","C","2020_04_CO0010400_NIBRS",97968995,0
2020,8498181,1830,5,2020,"I",,"Y","G","C","2020_05_CO0010400_NIBRS",97972969,0
2020,8525304,1830,6,2020,"I",,"Y","G","C","2020_06_CO0010400_NIBRS",97970536,0
2020,8532136,1830,7,2020,"I",,"Y","G","C","2020_07_CO0010400_NIBRS",97969078,0
2020,8494649,1830,8,2020,"I",,"Y","G","C","2020_08_CO0010400_NIBRS",97970168,0
2020,8503741,1830,9,2020,"I",,"Y","G","C","2020_09_CO0010400_NIBRS",97969198,0
2020,8536395,1830,10,2020,"I",,"Y","G","C","2020_10_CO0010400_NIBRS",97969282,0
2020,8563814,1830,11,2020,"I",,"Y","G","C","2020_11_CO0010400_NIBRS",97969598,0
2020,8521185,1830,12,2020,"I",,"Y","G","C","2020_12_CO0010400_NIBRS",97969708,0
2020,8511204,1904,1,2020,"I",,"Y","G","C","2020_01_CO0180000_NIBRS",94448862,0
2020,8524887,1904,2,2020,"I",,"Y","G","C","2020_02_CO0180000_NIBRS",94453045,0
2020,8533354,1904,3,2020,"I",,"Y","G","C","2020_03_CO0180000_NIBRS",94453080,0
2020,8507846,1904,4,2020,"I",,"Y","G","C","2020_04_CO0180000_NIBRS",94449575,0
2020,8559040,1904,5,2020,"I",,"Y","G","C","2020_05_CO0180000_NIBRS",93617086,0
2020,8516311,1904,6,2020,"I",,"Y","G","C","2020_06_CO0180000_NIBRS",94448823,0
2020,8521716,1904,7,2020,"I",,"Y","G","C","2020_07_CO0180000_NIBRS",94449503,0
2020,8488776,1904,8,2020,"I",,"Y","G","C","2020_08_CO0180000_NIBRS",94449667,0
2020,8515395,1904,9,2020,"I",,"Y","G","C","2020_09_CO0180000_NIBRS",94448945,0
2020,8556774,1904,10,2020,"I",,"Y","G","C","2020_10_CO0180000_NIBRS",94449496,0
2020,8484798,1904,11,2020,"I",,"Y","G","C","2020_11_CO0180000_NIBRS",94449235,0
2020,8520859,1904,12,2020,"I",,"Y","G","C","2020_12_CO0180000_NIBRS",97998081,0
2020,8503013,1919,1,2020,"I",,"Y","G","C","2020_01_CO0210000_NIBRS",97994159,0
2020,8498092,1919,2,2020,"I",,"Y","G","C","2020_02_CO0210000_NIBRS",97999477,0
2020,8540871,1919,3,2020,"I",,"Y","G","C","2020_03_CO0210000_NIBRS",97999367,0
2020,8484277,1919,4,2020,"I",,"Y","G","C","2020_04_CO0210000_NIBRS",97994710,0
2020,8506607,1919,5,2020,"I",,"Y","G","C","2020_05_CO0210000_NIBRS",97994539,0
2020,8528727,1919,6,2020,"I",,"Y","G","C","2020_06_CO0210000_NIBRS",97994176,0
2020,8561648,1919,7,2020,"I",,"Y","G","C","2020_07_CO0210000_NIBRS",97994209,0
2020,8561670,1919,8,2020,"I",,"Y","G","C","2020_08_CO0210000_NIBRS",97994229,0
2020,8514067,1919,9,2020,"I",,"Y","G","C","2020_09_CO0210000_NIBRS",97994237,0
2020,8493427,1919,10,2020,"I",,"Y","G","C","2020_10_CO0210000_NIBRS",97998730,0
2020,8529548,1919,11,2020,"I",,"Y","G","C","2020_11_CO0210000_NIBRS",97998544,0
2020,8498599,1919,12,2020,"I",,"Y","G","C","2020_12_CO0210000_NIBRS",97998792,0
2020,8521333,2119,1,2020,"I",,"Y","G","C","2020_01_CODPD0000_NIBRS",97993852,0
2020,8528235,2119,2,2020,"I",,"Y","G","C","2020_02_CODPD0000_NIBRS",97993890,0
2020,8511041,2119,3,2020,"I",,"Y","G","C","2020_03_CODPD0000_NIBRS",97993937,0
