StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,StateAssignedSchoolID,DistrictName,DistrictType,NCESDistrictID,StateAssignedDistrictID,EnrollmentTotal,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,LearningModel,LearningModelGrK5,LearningModelGr68,LearningModelGr912,LearningModelStateCat,LearningModelStateCatGrK5,LearningModelStateCatGr68,LearningModelStateCatGr912,EnrollmentInPerson,EnrollmentHybrid,EnrollmentVirtual,StaffCount,StaffCountInPerson
Colorado,CO,District,No,,,,,Academy 20,Regular local school district,0801920,1040,25463,Monthly,8/1/20,8/31/20,Hybrid,In-person,Hybrid,Hybrid,,In-Person,Hybrid,Hybrid,,,,3607,
Colorado,CO,District,No,,,,,Academy 20,Regular local school district,0801920,1040,25463,Monthly,9/1/20,9/30/20,Hybrid,In-person,Hybrid,Hybrid,,In-Person,Hybrid,Hybrid,,,,3607,
Colorado,CO,District,No,,,,,Academy 20,Regular local school district,0801920,1040,25463,Monthly,10/1/20,10/31/20,Hybrid,In-person,Hybrid,Hybrid,,In-Person,Hybrid,Hybrid,,,,3607,
Colorado,CO,District,No,,,,,Academy 20,Regular local school district,0801920,1040,25463,Monthly,11/1/20,11/30/20,Hybrid,In-person,Hybrid,Hybrid,,In-Person,Hybrid,Hybrid,,,,3607,
Colorado,CO,District,No,,,,,Academy 20,Regular local school district,0801920,1040,25463,Monthly,12/1/20,12/31/20,Virtual,Virtual,Virtual,Virtual,,Remote,Remote,Remote,,,,3607,
Colorado,CO,District,No,,,,,Academy 20,Regular local school district,0801920,1040,25463,Monthly,1/1/21,1/31/21,Virtual,Virtual,Virtual,Virtual,,Remote,Remote,Remote,,,,3607,
Colorado,CO,District,No,,,,,Academy 20,Regular local school district,0801920,1040,25463,Monthly,2/1/21,2/28/21,Virtual,Virtual,Virtual,Virtual,,Remote,Remote,Remote,,,,3607,
Colorado,CO,District,No,,,,,Academy 20,Regular local school district,0801920,1040,25463,Monthly,3/1/21,3/31/21,Hybrid,In-person,Hybrid,Hybrid,,In-Person,Hybrid,Hybrid,,,,3607,
Colorado,CO,District,No,,,,,Academy 20,Regular local school district,0801920,1040,25463,Monthly,4/1/21,4/30/21,Hybrid,In-person,Hybrid,Hybrid,,In-Person,Hybrid,Hybrid,,,,3607,
Colorado,CO,District,No,,,,,Academy 20,Regular local school district,0801920,1040,25463,Monthly,5/1/21,5/31/21,Hybrid,In-person,Hybrid,Hybrid,,In-Person,Hybrid,Hybrid,,,,3607,
Colorado,CO,District,No,,,,,Adams 12 Five Star Schools,Regular local school district,0806900,20,35817,Monthly,8/1/20,8/31/20,Virtual,Virtual,Virtual,Virtual,,Remote,Remote,Remote,,,,4829,
Colorado,CO,District,No,,,,,Adams 12 Five Star Schools,Regular local school district,0806900,20,35817,Monthly,9/1/20,9/30/20,Virtual,Virtual,Virtual,Virtual,,Remote,Remote,Remote,,,,4829,
Colorado,CO,District,No,,,,,Adams 12 Five Star Schools,Regular local school district,0806900,20,35817,Monthly,10/1/20,10/31/20,Hybrid,In-person,Hybrid,Hybrid,,In-Person,Hybrid,Hybrid,,,,4829,
Colorado,CO,District,No,,,,,Adams 12 Five Star Schools,Regular local school district,0806900,20,35817,Monthly,11/1/20,11/30/20,Virtual,In-person,Virtual,Virtual,,In-Person,Remote,Remote,,,,4829,
Colorado,CO,District,No,,,,,Adams 12 Five Star Schools,Regular local school district,0806900,20,35817,Monthly,12/1/20,12/31/20,Virtual,Virtual,Virtual,Virtual,,Remote,Remote,Remote,,,,4829,
Colorado,CO,District,No,,,,,Adams 12 Five Star Schools,Regular local school district,0806900,20,35817,Monthly,1/1/21,1/31/21,Virtual,Virtual,Virtual,Virtual,,Remote,Remote,Remote,,,,4829,
Colorado,CO,District,No,,,,,Adams 12 Five Star Schools,Regular local school district,0806900,20,35817,Monthly,2/1/21,2/28/21,Hybrid,In-person,Hybrid,Hybrid,,In-Person,Hybrid,Hybrid,,,,4829,
Colorado,CO,District,No,,,,,Adams 12 Five Star Schools,Regular local school district,0806900,20,35817,Monthly,3/1/21,3/31/21,Hybrid,In-person,Hybrid,Hybrid,,In-Person,Hybrid,Hybrid,,,,4829,
Colorado,CO,District,No,,,,,Adams 12 Five Star Schools,Regular local school district,0806900,20,35817,Monthly,4/1/21,4/30/21,In-person,In-person,In-person,In-person,,In-Person,In-Person,In-Person,,,,4829,
Colorado,CO,District,No,,,,,Adams 12 Five Star Schools,Regular local school district,0806900,20,35817,Monthly,5/1/21,5/31/21,In-person,In-person,In-person,In-person,,In-Person,In-Person,In-Person,,,,4829,
Colorado,CO,District,No,,,,,Adams County 14,Regular local school district,0801950,30,5725,Monthly,8/1/20,8/31/20,Virtual,Virtual,Virtual,Virtual,,Remote,Remote,Remote,,,,830,
Colorado,CO,District,No,,,,,Adams County 14,Regular local school district,0801950,30,5725,Monthly,9/1/20,9/30/20,Virtual,Virtual,Virtual,Virtual,,Remote,Remote,Remote,,,,830,
