"YEARLY_AGENCY_ID","AGENCY_ID","DATA_YEAR","ORI","LEGACY_ORI","COVERED_BY_LEGACY_ORI","DIRECT_CONTRIBUTOR_FLAG","DORMANT_FLAG","DORMANT_YEAR","REPORTING_TYPE","UCR_AGENCY_NAME","NCIC_AGENCY_NAME","PUB_AGENCY_NAME","PUB_AGENCY_UNIT","AGENCY_STATUS","STATE_ID","STATE_NAME","STATE_ABBR","STATE_POSTAL_ABBR","DIVISION_CODE","DIVISION_NAME","REGION_CODE","REGION_NAME","REGION_DESC","AGENCY_TYPE_NAME","POPULATION","SUBMITTING_AGENCY_ID","SAI","SUBMITTING_AGENCY_NAME","SUBURBAN_AREA_FLAG","POPULATION_GROUP_ID","POPULATION_GROUP_CODE","POPULATION_GROUP_DESC","PARENT_POP_GROUP_CODE","PARENT_POP_GROUP_DESC","MIP_FLAG","POP_SORT_ORDER","SUMMARY_RAPE_DEF","PE_REPORTED_FLAG","MALE_OFFICER","MALE_CIVILIAN","PED.MALE_OFFICER+PED.MALE_CIVILIAN","FEMALE_OFFICER","FEMALE_CIVILIAN","PED.FEMALE_CIVILIAN+PED.FEMALE_OFFICER","0","0","NIBRS_CERT_DATE","NIBRS_START_DATE","NIBRS_LEOKA_START_DATE","NIBRS_CT_START_DATE","NIBRS_MULTI_BIAS_START_DATE","NIBRS_OFF_ETH_START_DATE","COVERED_FLAG","COUNTY_NAME","MSA_NAME","PUBLISHABLE_FLAG","PARTICIPATED","NIBRS_PARTICIPATED"
18262020,1826,2020,"CO0010000","CO0010000","","N","N",,"I","ADAMS","ADAMS","Adams","","A",7,"Colorado","CO","CO","8","Mountain","4","West","Region IV","County",100575,23358,"COUCR0001","Colorado Bureau of Investigation Uniform Crime Reporting","Y",19,"9A","MSA counties 100,000 or over","9","MSA Counties","Y",3,"R","Y",343,46,389,56,143,199,0,0,01-JAN-92,01-JAN-97,01-MAR-03,01-FEB-14,01-JAN-16,01-APR-13,"N","ADAMS","Denver-Aurora-Lakewood, CO","Y","Y","Y"
18272020,1827,2020,"CO0010100","CO0010100","","N","N",,"I","AURORA","AURORA","Aurora","","A",7,"Colorado","CO","CO","8","Mountain","4","West","Region IV","City",385720,23358,"COUCR0001","Colorado Bureau of Investigation Uniform Crime Reporting","N",5,"1C","Cities from 250,000 thru 499,999","1","All cities 250,000 or over","Y",1,"R","Y",673,24,697,97,112,209,0,0,01-JAN-92,01-JAN-85,01-MAR-03,01-FEB-14,01-JAN-16,01-APR-13,"N","DOUGLAS; ADAMS; ARAPAHOE","Denver-Aurora-Lakewood, CO","Y","Y","Y"
18282020,1828,2020,"CO0010200","CO0010200","","N","N",,"I","BRIGHTON","BRIGHTON","Brighton","","A",7,"Colorado","CO","CO","8","Mountain","4","West","Region IV","City",42536,23358,"COUCR0001","Colorado Bureau of Investigation Uniform Crime Reporting","Y",8,"4","Cities from 25,000 thru 49,999","4","Cities from 25,000 thru 49,999","N",2,"R","Y",65,5,70,14,26,40,0,0,01-JAN-92,01-SEP-04,01-JAN-06,01-FEB-14,01-JAN-16,01-APR-13,"N","WELD; ADAMS","Denver-Aurora-Lakewood, CO; Greeley, CO","Y","Y","Y"
18292020,1829,2020,"CO0010300","CO0010300","","N","N",,"I","COMMERCE CITY","COMMERCE CITY","Commerce City","","A",7,"Colorado","CO","CO","8","Mountain","4","West","Region IV","City",62164,23358,"COUCR0001","Colorado Bureau of Investigation Uniform Crime Reporting","N",7,"3","Cities from 50,000 thru 99,999","3","Cities from 50,000 thru 99,999","N",2,"R","Y",88,7,95,17,23,40,0,0,01-JAN-92,01-JAN-97,01-MAR-03,01-FEB-14,01-JAN-16,01-APR-13,"N","ADAMS","Denver-Aurora-Lakewood, CO","Y","Y","Y"
18302020,1830,2020,"CO0010400","CO0010400","","N","N",,"I","THORNTON","THORNTON","Thornton","","A",7,"Colorado","CO","CO","8","Mountain","4","West","Region IV","City",144156,23358,"COUCR0001","Colorado Bureau of Investigation Uniform Crime Reporting","N",6,"2","Cities from 100,000 thru 249,999","2","Cities from 100,000 thru 249,999","Y",1,"R","Y",199,9,208,37,66,103,0,0,01-JAN-92,01-JAN-12,01-SEP-12,01-JUL-14,01-FEB-16,01-APR-13,"N","ADAMS","Denver-Aurora-Lakewood, CO","Y","Y","Y"
18312020,1831,2020,"CO0010500","CO0010500","","N","N",,"I","WESTMINSTER","WESTMINSTER","Westminster","","A",7,"Colorado","CO","CO","8","Mountain","4","West","Region IV","City",113941,23358,"COUCR0001","Colorado Bureau of Investigation Uniform Crime Reporting","N",6,"2","Cities from 100,000 thru 249,999","2","Cities from 100,000 thru 249,999","Y",1,"R","Y",171,24,195,22,50,72,0,0,01-JAN-92,01-JAN-97,01-AUG-04,01-FEB-14,01-JAN-16,01-APR-13,"N","JEFFERSON; ADAMS","Denver-Aurora-Lakewood, CO","Y","Y","Y"
18322020,1832,2020,"CO0010600","CO0010600","","N","N",,"I","NORTHGLENN","NORTHGLENN","Northglenn","","A",7,"Colorado","CO","CO","8","Mountain","4","West","Region IV","City",39161,23358,"COUCR0001","Colorado Bureau of Investigation Uniform Crime Reporting","Y",8,"4","Cities from 25,000 thru 49,999","4","Cities from 25,000 thru 49,999","N",2,"R","Y",52,4,56,10,12,22,0,0,01-JAN-92,01-JAN-97,01-MAR-03,01-FEB-14,01-JAN-16,01-FEB-14,"N","WELD; ADAMS","Denver-Aurora-Lakewood, CO; Greeley, CO","Y","Y","Y"
18352020,1835,2020,"CO0011100","CO0011100","","N","N",,"I","UNIV OF CO: DENVER","UNIV OF CO: DENVER","University of Colorado:","Denver","A",7,"Colorado","CO","CO","8","Mountain","4","West","Region IV","University or College",0,23358,"COUCR0001","Colorado Bureau of Investigation Uniform Crime Reporting","Y",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",22,21,43,3,13,16,0,0,01-JAN-92,01-JAN-02,01-MAR-03,01-FEB-14,01-JAN-16,01-APR-13,"N","ADAMS","Denver-Aurora-Lakewood, CO","Y","Y","Y"
18372020,1837,2020,"CO0020100","CO0020100","","N","N",,"I","ALAMOSA","ALAMOSA","Alamosa","","A",7,"Colorado","CO","CO","8","Mountain","4","West","Region IV","City",9669,23358,"COUCR0001","Colorado Bureau of Investigation Uniform Crime Reporting","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",23,2,25,2,2,4,0,0,01-JAN-92,01-JAN-12,01-AUG-12,01-MAR-15,01-FEB-16,01-MAR-15,"N","ALAMOSA","Non-MSA","Y","Y","Y"
18382020,1838,2020,"CO0020200","CO0020200","","N","N",,"I","ADAMS STATE UNIVERSITY","ADAMS STATE COLLEGE","Adams State University","","A",7,"Colorado","CO","CO","8","Mountain","4","West","Region IV","University or College",0,23358,"COUCR0001","Colorado Bureau of Investigation Uniform Crime Reporting","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",4,0,4,1,1,2,0,0,01-JAN-92,01-JUL-97,01-DEC-13,01-MAR-14,01-JAN-16,01-FEB-14,"N","ALAMOSA","Non-MSA","Y","Y","Y"
18392020,1839,2020,"CO0030000","CO0030000","","N","N",,"I","ARAPAHOE","ARAPAHOE","Arapahoe","","A",7,"Colorado","CO","CO","8","Mountain","4","West","Region IV","County",97489,23358,"COUCR0001","Colorado Bureau of Investigation Uniform Crime Reporting","Y",20,"9B","MSA counties from 25,000 thru 99,999","9","MSA Counties","N",3,"R","Y",335,46,381,102,122,224,0,0,01-JAN-92,01-JAN-97,01-MAR-03,01-FEB-14,01-JAN-16,01-APR-13,"N","ARAPAHOE","Denver-Aurora-Lakewood, CO","Y","Y","Y"
18402020,1840,2020,"CO0030100","CO0030100","","N","N",,"I","ENGLEWOOD","ENGLEWOOD","Englewood","","A",7,"Colorado","CO","CO","8","Mountain","4","West","Region IV","City",35464,23358,"COUCR0001","Colorado Bureau of Investigation Uniform Crime Reporting","Y",8,"4","Cities from 25,000 thru 49,999","4","Cities from 25,000 thru 49,999","N",2,"R","Y",67,6,73,9,24,33,0,0,01-JAN-92,01-JAN-92,01-FEB-11,01-FEB-14,01-JAN-16,01-APR-13,"N","ARAPAHOE","Denver-Aurora-Lakewood, CO","Y","Y","Y"
18412020,1841,2020,"CO0030200","CO0030200","","N","N",,"I","LITTLETON","LITTLETON","Littleton","","A",7,"Colorado","CO","CO","8","Mountain","4","West","Region IV","City",48805,23358,"COUCR0001","Colorado Bureau of Investigation Uniform Crime Reporting","Y",8,"4","Cities from 25,000 thru 49,999","4","Cities from 25,000 thru 49,999","N",2,"R","Y",64,5,69,10,20,30,0,0,01-JAN-92,01-JAN-11,01-FEB-11,01-FEB-14,01-JAN-16,01-APR-13,"N","DOUGLAS; JEFFERSON; ARAPAHOE","Denver-Aurora-Lakewood, CO","Y","Y","Y"
18422020,1842,2020,"CO0030300","CO0030300","","N","N",,"I","SHERIDAN","SHERIDAN","Sheridan","","A",7,"Colorado","CO","CO","8","Mountain","4","West","Region IV","City",6246,23358,"COUCR0001","Colorado Bureau of Investigation Uniform Crime Reporting","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",32,0,32,2,1,3,0,0,01-JAN-92,01-JAN-97,01-MAR-03,01-FEB-14,01-JAN-16,01-APR-13,"N","ARAPAHOE","Denver-Aurora-Lakewood, CO","Y","Y","Y"
18432020,1843,2020,"CO0030400","CO0030400","","N","N",,"I","GLENDALE","GLENDALE","Glendale","","A",7,"Colorado","CO","CO","8","Mountain","4","West","Region IV","City",5243,23358,"COUCR0001","Colorado Bureau of Investigation Uniform Crime Reporting","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",22,1,23,5,12,17,0,0,01-JAN-92,01-JAN-97,01-APR-03,01-FEB-14,01-JAN-16,01-APR-13,"N","ARAPAHOE","Denver-Aurora-Lakewood, CO","Y","Y","Y"
18442020,1844,2020,"CO0030500","CO0030500","","N","N",,"I","CHERRY HILLS VILLAGE","CHERRY HILLS VILLAGE","Cherry Hills Village","","A",7,"Colorado","CO","CO","8","Mountain","4","West","Region IV","City",6722,23358,"COUCR0001","Colorado Bureau of Investigation Uniform Crime Reporting","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",19,4,23,4,1,5,0,0,01-JAN-92,01-JAN-97,01-SEP-12,01-FEB-14,01-JAN-16,01-FEB-14,"N","ARAPAHOE","Denver-Aurora-Lakewood, CO","Y","Y","Y"
18452020,1845,2020,"CO0030600","CO0030600","","N","N",,"I","BOW MAR","BOW MAR","Bow Mar","","A",7,"Colorado","CO","CO","8","Mountain","4","West","Region IV","City",953,23358,"COUCR0001","Colorado Bureau of Investigation Uniform Crime Reporting","Y",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",0,0,0,0,0,0,0,0,01-JAN-92,01-JAN-97,01-SEP-03,01-APR-14,01-JAN-16,01-FEB-14,"N","JEFFERSON; ARAPAHOE","Denver-Aurora-Lakewood, CO","Y","Y","Y"
18462020,1846,2020,"CO0030700","CO0030700","","N","N",,"I","GREENWOOD VILLAGE","GREENWOOD VILLAGE","Greenwood Village","","A",7,"Colorado","CO","CO","8","Mountain","4","West","Region IV","City",15945,23358,"COUCR0001","Colorado Bureau of Investigation Uniform Crime Reporting","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",53,6,59,10,15,25,0,0,01-JAN-92,01-JAN-97,01-MAR-03,01-OCT-14,01-JAN-16,01-APR-13,"N","ARAPAHOE","Denver-Aurora-Lakewood, CO","Y","Y","Y"
