NCES_school_ID,low_grade,high_grade,schoool_name,district,county,address,city,state,ZIP,location,students,teachers
80336006756,9,12,5280 High School,School District No. 1 in the county of Denver and State of C,Denver County,899 BROADWAY,DENVER,CO,80203,City: Large,104,5.24
80615006496,KG,12,70 Online,Pueblo County School District 70,Pueblo County,301 LANE 28,PUEBLO,CO,81001,Suburb: Midsize,230,11.32
80336000305,9,12,Abraham Lincoln High School,School District No. 1 in the county of Denver and State of C,Denver County,2285 SOUTH FEDERAL BOULEVARD,DENVER,CO,80219,City: Large,964,64.34
80408000560,KG,5,Abrams Elementary School,Fountain School District No. 8 in the county of El Paso an,El Paso County,600 CHILES AVENUE,FORT CARSON,CO,80902,Suburb: Large,428,28.91
80336001750,PK,6,Academia Ana Marie Sandoval,School District No. 1 in the county of Denver and State of C,Denver County,3655 WYANDOT STREET,DENVER,CO,80211,City: Large,361,20.82
80336006592,PK,5,Academy 360,School District No. 1 in the county of Denver and State of C,Denver County,12000 E. 47TH AVE,DENVER,CO,80239,City: Large,194,16.69
80345000492,PK,8,Academy Charter School,Douglas County School District No. Re 1,Douglas County,1551 PRAIRIE HAWK DRIVE,CASTLE ROCK,CO,80104,Suburb: Large,737,36.02
80192001643,KG,5,Academy Endeavour Elementary School,Academy School District No. 20 in the county of El Paso an,El Paso County,3475 HAMPTON PARK DRIVE,COLORADO SPRINGS,CO,80920,City: Large,383,24.7
80306006456,KG,8,Academy for Advanced and Creative Learning,Colorado Springs School District No. 11 in the county of E,El Paso County,2510 NORTH CHESTNUT STREET,COLORADO SPRINGS,CO,80907,City: Large,296,23.42
80555001872,9,12,Academy High School,Mapleton School District No. 1 in the county of Adams & St,Adams County,8970 YORK STREET,THORNTON,CO,80229,Suburb: Large,448,24.99
80192001644,PK,5,Academy International Elementary School,Academy School District No. 20 in the county of El Paso an,El Paso County,8550 CHARITY,COLORADO SPRINGS,CO,80920,City: Large,450,26.5
80234006736,KG,8,Academy of Advanced Learning,Aurora Joint District No. 28 of the counties of Adams and A,Arapahoe County,431 N SABLE BLVD,AURORA,CO,80011,City: Large,928,46.66
80002001998,KG,5,Academy of Arts and Knowledge Elementary,State Charter School Institute,Larimer County,4800 WHEATON DR,FT COLLINS,CO,80525,City: Midsize,185,14.17
80002000727,PK,12,Academy of Charter Schools,State Charter School Institute,Adams County,11800 LOWELL BLVD,WESTMINSTER,CO,80031,Suburb: Large,1899,93.57
80555002004,PK,8,Achieve Academy,Mapleton School District No. 1 in the county of Adams & St,Adams County,9100 POZE BLVD,THORNTON,CO,80229,Suburb: Large,420,25.91
80306006428,6,12,Achieve Online,Colorado Springs School District No. 11 in the county of E,El Paso County,2115 AFTON WAY,COLORADO SPRINGS,CO,80909,City: Large,308,15
80345000436,PK,6,Acres Green Elementary School,Douglas County School District No. Re 1,Douglas County,13524 NORTH ACRES GREEN DRIVE,LITTLETON,CO,80124,Suburb: Large,398,30.75
80195000010,9,12,Adams City High School,School District N. 14 in the county of Adams & State of Colo,Adams County,7200 QUEBEC PARKWAY,COMMERCE CITY,CO,80022,Rural: Fringe,1656,85.56
80195000009,6,8,Adams City Middle School,School District N. 14 in the county of Adams & State of Colo,Adams County,4451 EAST 72ND AVENUE,COMMERCE CITY,CO,80022,City: Small,718,38.71
80306000239,PK,5,Adams Elementary School,Colorado Springs School District No. 11 in the county of E,El Paso County,2101 MANITOBA DRIVE,COLORADO SPRINGS,CO,80910,City: Large,401,28.6
80480001446,PK,5,Adams Elementary School,Jefferson County School District No. R-1,Jefferson County,6450 WEST 95TH PLACE,WESTMINSTER,CO,80021,Suburb: Large,334,23.16
80258006343,4,12,Adams Youth Service Center,School District 27J,Adams County,1933 EAST BRIDGE STREET,BRIGHTON,CO,80601,Suburb: Large,15,5
80690006435,PK,PK,Adams12 Five Star Preschool,Adams 12 Five Star Schools,Adams County,455 EPPINGER BLVD,THORNTON,CO,80229,Suburb: Large,50,0
80480006587,6,12,Addenbrooke Classical Academy,Jefferson County School District No. R-1,Jefferson County,3940 S TELLER STREET,LAKEWOOD,CO,80235,City: Midsize,437,28.87
80480006643,PK,5,Addenbrooke Classical Grammar School,Jefferson County School District No. R-1,Jefferson County,7114 WEST JEFFERSON AVENUE,LAKEWOOD,CO,80235,City: Midsize,437,25.07
80555001932,PK,6,Adventure Elementary,Mapleton School District No. 1 in the county of Adams & St,Adams County,7725 CONIFER RD.,DENVER,CO,80221,Suburb: Large,386,23.5
80198000020,PK,5,Agate Elementary School,Agate School District No. 300,Elbert County,P O BOX 118,AGATE,CO,80101,Rural: Remote,52,6.33
80198000021,6,12,Agate Junior Senior High School,Agate School District No. 300,Elbert County,P O BOX 118,AGATE,CO,80101,Rural: Remote,21,4.22
80201000022,PK,5,Aguilar Elementary School,Aguilar Reorganized School District No. 6,Las Animas County,P O BOX 567,AGUILAR,CO,81020,Rural: Remote,57,4.5
80201000023,6,12,Aguilar Junior-Senior High School,Aguilar Reorganized School District No. 6,Las Animas County,P O BOX 567,AGUILAR,CO,81020,Rural: Remote,43,4.04
80525006678,6,12,AIM Global,Las Animas School District No. Re-1,Pueblo County,107 WEST 11TH STREET,PUEBLO,CO,81003,City: Midsize,1701,7.02
80192000002,9,12,Air Academy High School,Academy School District No. 20 in the county of El Paso an,El Paso County,BUILDING 6910,USAF ACADEMY,CO,80840,Rural: Fringe,1383,79.9
80204000024,PK,8,Akron Elementary School,Akron School District No. R-1,Washington County,600 ELM AVENUE,AKRON,CO,80720,Rural: Remote,300,25.29
80204000025,9,12,Akron High School,Akron School District No. R-1,Washington County,600 ELM AVENUE,AKRON,CO,80720,Rural: Remote,92,11.78
80480000691,7,12,Alameda International Junior/Senior High School,Jefferson County School District No. R-1,Jefferson County,1255 SOUTH WADSWORTH BLVD,LAKEWOOD,CO,80232,City: Midsize,1170,71.64
80207006459,3,5,Alamosa Elementary School 3-5,Alamosa School District No. Re-11J,Alamosa County,1709 WEST 10TH STREET BUILDING B,ALAMOSA,CO,81101,Town: Remote,439,34.18
80207006798,KG,2,Alamosa Elementary School K-2,Alamosa School District No. Re-11J,Alamosa County,1707 WEST 10TH STREET BUILDING A,ALAMOSA,CO,81101,Town: Remote,355,28.18
80207000027,9,12,Alamosa High School,Alamosa School District No. Re-11J,Alamosa County,805 CRAFT DRIVE,ALAMOSA,CO,81101,Town: Remote,427,24.93
80207006792,KG,12,Alamosa Online,Alamosa School District No. Re-11J,Alamosa County,209 VICTORIA AVE,ALAMOSA,CO,81011,Town: Remote,556,13.41
80654001132,KG,2,Alice Terry Elementary School,Sheridan School District No. 2,Arapahoe County,4485 S. IRVING ST.,ENGLEWOOD,CO,80110,Suburb: Large,197,13
80249001403,PK,5,Alicia Sanchez International School,Boulder Valley School District No. Re2,Boulder County,655 SIR GALAHAD DRIVE,LAFAYETTE,CO,80026,Suburb: Small,303,30.58
80480000692,PK,5,Allendale Elementary School,Jefferson County School District No. R-1,Jefferson County,5900 OAK STREET,ARVADA,CO,80004,Suburb: Large,129,9.92
80387006725,2,5,ALLIES,El Paso County Colorado School District 49,El Paso County,6275 BRIDLESPUR AVENUE,COLORADO SPRINGS,CO,80922,City: Large,124,13.6
80537001832,PK,5,Alpine Elementary School,St. Vrain Valley School District No. Re1J,Boulder County,2005 ALPINE STREET,LONGMONT,CO,80504,Suburb: Small,389,23.03
80195000011,KG,5,Alsup Elementary School,School District N. 14 in the county of Adams & State of Colo,Adams County,7101 BIRCH STREET,COMMERCE CITY,CO,80022,City: Small,365,23.33
80522000860,KG,6,Alta Vista Charter School,Lamar School District No. Re-2,Prowers County,8785 CR LL,LAMAR,CO,81052,Rural: Fringe,131,9.5
80291006750,PK,5,Altitude Elementary School,Cherry Creek School District No. 5 in the county of Arapah,Arapahoe County,27300 EAST SOUTHSHORE DRIVE,AURORA,CO,80016,Rural: Fringe,850,48.09
80537001886,6,8,Altona Middle School,St. Vrain Valley School District No. Re1J,Boulder County,4600 CLOVER BASIN DRIVE,LONGMONT,CO,80503,Suburb: Small,794,38.8
80234000052,PK,5,Altura Elementary School,Aurora Joint District No. 28 of the counties of Adams and A,Adams County,1650 ALTURA BLVD,AURORA,CO,80011,City: Large,480,32.09
80345001896,PK,8,American Academy,Douglas County School District No. Re 1,Douglas County,6971 MIRA VISTA LANE,CASTLE PINES,CO,80108,Suburb: Large,2576,151.63
80336006797,6,8,American Indian Academy of Denver,School District No. 1 in the county of Denver and State of C,Denver County,1862 W MISSISSIPPI AVENUE,DENVER,CO,80223,City: Large,102,9.43
80249000122,6,8,Angevine Middle School,Boulder Valley School District No. Re2,Boulder County,1150 W SOUTH BOULDER ROAD,LAFAYETTE,CO,80026,Suburb: Small,638,37.89
80002006418,9,12,Animas High School,State Charter School Institute,La Plata County,PO BOX 4414,DURANGO,CO,81302,Rural: Fringe,198,15.2
80348001066,PK,5,Animas Valley Elementary School,Durango School District No. 9-R,La Plata County,373 HERMOSA MEADOWS ROAD,DURANGO,CO,81301,Rural: Fringe,217,17.11
80291001670,PK,5,Antelope Ridge Elementary School,Cherry Creek School District No. 5 in the county of Arapah,Arapahoe County,5455 SOUTH TEMPE STREET,AURORA,CO,80015,Suburb: Large,610,33.04
